Date,China,US,United_Kingdom,Italy,France,Germany,Spain,Iran
2020-01-22,548.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-23,643.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-24,920.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-01-25,1406.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-01-26,2075.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-01-27,2877.0,5.0,0.0,0.0,3.0,1.0,0.0,0.0
2020-01-28,5509.0,5.0,0.0,0.0,4.0,4.0,0.0,0.0
2020-01-29,6087.0,6.0,0.0,0.0,5.0,4.0,0.0,0.0
2020-01-30,8141.0,6.0,0.0,0.0,5.0,4.0,0.0,0.0
2020-01-31,9802.0,8.0,2.0,2.0,5.0,5.0,0.0,0.0
2020-02-01,11891.0,8.0,2.0,2.0,6.0,8.0,1.0,0.0
2020-02-02,16630.0,8.0,2.0,2.0,6.0,10.0,1.0,0.0
2020-02-03,19716.0,11.0,8.0,2.0,6.0,12.0,1.0,0.0
2020-02-04,23707.0,11.0,8.0,2.0,6.0,12.0,1.0,0.0
2020-02-05,27440.0,11.0,9.0,2.0,6.0,12.0,1.0,0.0
2020-02-06,30587.0,12.0,9.0,2.0,6.0,12.0,1.0,0.0
2020-02-07,34110.0,12.0,9.0,3.0,6.0,13.0,1.0,0.0
2020-02-08,36814.0,12.0,13.0,3.0,11.0,13.0,1.0,0.0
2020-02-09,39829.0,12.0,14.0,3.0,11.0,14.0,2.0,0.0
2020-02-10,42354.0,12.0,14.0,3.0,11.0,14.0,2.0,0.0
2020-02-11,44386.0,13.0,15.0,3.0,11.0,16.0,2.0,0.0
2020-02-12,44759.0,13.0,16.0,3.0,11.0,16.0,2.0,0.0
2020-02-13,59895.0,14.0,17.0,3.0,11.0,16.0,2.0,0.0
2020-02-14,66358.0,14.0,18.0,3.0,11.0,16.0,2.0,0.0
2020-02-15,68413.0,14.0,18.0,3.0,12.0,16.0,2.0,0.0
2020-02-16,70513.0,14.0,18.0,3.0,12.0,16.0,2.0,0.0
2020-02-17,72434.0,14.0,19.0,3.0,12.0,16.0,2.0,0.0
2020-02-18,74211.0,14.0,19.0,3.0,12.0,16.0,2.0,0.0
2020-02-19,74619.0,14.0,20.0,3.0,12.0,16.0,2.0,2.0
2020-02-20,75077.0,14.0,22.0,3.0,12.0,16.0,2.0,5.0
2020-02-21,75550.0,16.0,23.0,20.0,12.0,16.0,2.0,18.0
2020-02-22,77001.0,16.0,23.0,62.0,12.0,16.0,2.0,28.0
2020-02-23,77022.0,16.0,28.0,155.0,12.0,16.0,2.0,43.0
2020-02-24,77241.0,16.0,30.0,229.0,12.0,16.0,2.0,61.0
2020-02-25,77754.0,16.0,34.0,322.0,14.0,17.0,6.0,95.0
2020-02-26,78166.0,16.0,37.0,453.0,18.0,27.0,13.0,139.0
2020-02-27,78600.0,17.0,44.0,655.0,38.0,46.0,15.0,245.0
2020-02-28,78928.0,17.0,56.0,888.0,57.0,48.0,32.0,388.0
2020-02-29,79356.0,25.0,61.0,1128.0,100.0,79.0,45.0,593.0
2020-03-01,79932.0,32.0,94.0,1694.0,130.0,130.0,84.0,978.0
2020-03-02,80136.0,55.0,134.0,2036.0,191.0,159.0,120.0,1501.0
2020-03-03,80261.0,74.0,189.0,2502.0,204.0,196.0,165.0,2336.0
2020-03-04,80386.0,107.0,246.0,3089.0,288.0,262.0,222.0,2922.0
2020-03-05,80537.0,184.0,295.0,3858.0,380.0,482.0,259.0,3513.0
2020-03-06,80690.0,237.0,374.0,4636.0,656.0,670.0,400.0,4747.0
2020-03-07,80770.0,403.0,429.0,5883.0,959.0,799.0,500.0,5823.0
2020-03-08,80823.0,519.0,483.0,7375.0,1136.0,1040.0,673.0,6566.0
2020-03-09,80860.0,594.0,630.0,9172.0,1219.0,1176.0,1073.0,7161.0
2020-03-10,80887.0,782.0,889.0,10149.0,1794.0,1457.0,1695.0,8042.0
2020-03-11,80921.0,1147.0,1301.0,12462.0,2293.0,1908.0,2277.0,9000.0
2020-03-12,80932.0,1586.0,1790.0,15113.0,2293.0,2078.0,2277.0,10075.0
2020-03-13,80945.0,2219.0,2270.0,17660.0,3681.0,3675.0,5232.0,11364.0
2020-03-14,80977.0,2978.0,2634.0,21157.0,4496.0,4585.0,6391.0,12729.0
2020-03-15,81003.0,3212.0,3077.0,24747.0,4532.0,5795.0,7798.0,13938.0
2020-03-16,81033.0,4679.0,3692.0,27980.0,6683.0,7272.0,9942.0,14991.0
2020-03-17,81058.0,6511.0,4462.0,31506.0,7715.0,9257.0,11748.0,16169.0
2020-03-18,81102.0,9165.0,5467.0,35713.0,9124.0,12327.0,13910.0,17361.0
2020-03-19,81156.0,13659.0,6533.0,41035.0,10970.0,15320.0,17963.0,18407.0
2020-03-20,81250.0,20026.0,7791.0,47021.0,12758.0,19848.0,20410.0,19644.0
2020-03-21,81305.0,26022.0,9006.0,53578.0,14463.0,22213.0,25374.0,20610.0
2020-03-22,81435.0,34824.0,10395.0,59138.0,16243.0,24873.0,28768.0,21638.0
2020-03-23,81498.0,46043.0,12744.0,63927.0,20123.0,29056.0,35136.0,23049.0
2020-03-24,81591.0,56620.0,15126.0,69176.0,22622.0,32986.0,39885.0,24811.0
2020-03-25,81661.0,68654.0,17843.0,74386.0,25600.0,37323.0,49515.0,27017.0
2020-03-26,81782.0,86548.0,20970.0,80589.0,29551.0,43938.0,57786.0,29406.0
2020-03-27,81897.0,105179.0,24219.0,86498.0,33402.0,50871.0,65719.0,32332.0
2020-03-28,81999.0,124786.0,27062.0,92472.0,38105.0,57695.0,73235.0,35408.0
2020-03-29,82122.0,143715.0,29954.0,97689.0,40708.0,62095.0,80110.0,38309.0
2020-03-30,82198.0,165728.0,34281.0,101739.0,45170.0,66885.0,87956.0,41495.0
2020-03-31,82279.0,192091.0,38815.0,105792.0,52827.0,71808.0,95923.0,44605.0
2020-04-01,82361.0,217910.0,43789.0,110574.0,57749.0,77872.0,104118.0,47593.0
2020-04-02,82432.0,248302.0,48718.0,115242.0,59929.0,84794.0,112065.0,50468.0
2020-04-03,82511.0,280302.0,53699.0,119827.0,65202.0,91159.0,119199.0,53183.0
2020-04-04,82543.0,313303.0,57772.0,124632.0,69500.0,96092.0,126168.0,55743.0
2020-04-05,82602.0,341487.0,61422.0,128948.0,71412.0,100123.0,131646.0,58226.0
2020-04-06,82665.0,371672.0,66738.0,132547.0,75343.0,103374.0,136675.0,60500.0
2020-04-07,82718.0,403071.0,72224.0,135586.0,79163.0,107663.0,141942.0,62589.0
2020-04-08,82809.0,435087.0,77387.0,139422.0,83057.0,113296.0,148220.0,64586.0
2020-04-09,82883.0,469735.0,82293.0,143626.0,87366.0,118181.0,153222.0,66220.0
2020-04-10,82941.0,503271.0,86660.0,147577.0,91738.0,122171.0,158273.0,68192.0
2020-04-11,83014.0,532628.0,90273.0,152271.0,94863.0,124908.0,163027.0,70029.0
2020-04-12,83134.0,559587.0,93812.0,156363.0,121712.0,127854.0,166831.0,71686.0
2020-04-13,83213.0,585378.0,98017.0,159516.0,125394.0,130072.0,170099.0,73303.0
2020-04-14,83306.0,613969.0,102365.0,162488.0,130365.0,131359.0,172541.0,74877.0
2020-04-15,83356.0,643977.0,107465.0,165155.0,133585.0,134753.0,177644.0,76389.0
2020-04-16,83403.0,675499.0,112808.0,168941.0,146075.0,137698.0,184948.0,77995.0
2020-04-17,83760.0,708305.0,117798.0,172434.0,148084.0,141397.0,190839.0,79494.0
2020-04-18,83787.0,736156.0,122534.0,175925.0,148086.0,143342.0,191726.0,80868.0
2020-04-19,83805.0,761837.0,126394.0,178972.0,153011.0,145184.0,198674.0,82211.0
2020-04-20,83817.0,790259.0,131260.0,181228.0,155393.0,147065.0,200210.0,83505.0
2020-04-21,83853.0,816297.0,136035.0,183957.0,158168.0,148291.0,204178.0,84802.0
2020-04-22,83868.0,845594.0,141540.0,187327.0,155980.0,150648.0,208389.0,85996.0
2020-04-23,83884.0,879025.0,146708.0,189973.0,158303.0,153129.0,213024.0,87026.0
2020-04-24,83899.0,912591.0,151689.0,192994.0,159952.0,154999.0,202990.0,88194.0
2020-04-25,83909.0,944392.0,155453.0,195351.0,161644.0,156513.0,205905.0,89328.0
2020-04-26,83912.0,971491.0,158926.0,197675.0,162220.0,157770.0,207634.0,90481.0
2020-04-27,83918.0,994665.0,163630.0,199414.0,165963.0,158758.0,209465.0,91472.0
2020-04-28,83940.0,1019339.0,168357.0,201505.0,169053.0,159912.0,210773.0,92584.0
2020-04-29,83944.0,1047184.0,173807.0,203591.0,166543.0,161539.0,212917.0,93657.0
2020-04-30,83956.0,1076689.0,178771.0,205463.0,167299.0,163009.0,213435.0,94640.0
2020-05-01,83959.0,1110909.0,183501.0,207428.0,167305.0,164077.0,215216.0,95646.0
2020-05-02,83959.0,1138911.0,186731.0,209328.0,168518.0,164967.0,216582.0,96448.0
2020-05-03,83964.0,1163413.0,189708.0,210717.0,168925.0,165664.0,217466.0,97424.0
2020-05-04,83966.0,1186815.0,193091.0,211938.0,169583.0,166152.0,218011.0,98647.0
2020-05-05,83968.0,1211378.0,196780.0,213013.0,170687.0,167007.0,219329.0,99970.0
2020-05-06,83970.0,1236525.0,200616.0,214457.0,174224.0,168162.0,220325.0,101650.0
2020-05-07,83975.0,1264315.0,204387.0,215858.0,174918.0,169430.0,221447.0,103135.0
2020-05-08,83976.0,1291197.0,207439.0,217185.0,176202.0,170588.0,222857.0,104691.0
2020-05-09,83990.0,1316165.0,209589.0,218268.0,176782.0,171324.0,223578.0,106220.0
2020-05-10,84010.0,1335021.0,211911.0,219070.0,177094.0,171879.0,224350.0,107603.0
2020-05-11,84011.0,1354468.0,215500.0,219814.0,177547.0,172576.0,227436.0,109286.0
2020-05-12,84018.0,1377226.0,218895.0,221216.0,178349.0,173171.0,228030.0,110767.0
2020-05-13,84024.0,1398192.0,222195.0,222104.0,178184.0,174098.0,228691.0,112725.0
2020-05-14,84029.0,1425500.0,224813.0,223096.0,178994.0,174478.0,229540.0,114533.0
2020-05-15,84038.0,1450798.0,227334.0,223885.0,179630.0,175233.0,230183.0,116635.0
2020-05-16,84044.0,1474811.0,229406.0,224760.0,179630.0,175752.0,230698.0,118392.0
2020-05-17,84054.0,1492925.0,231232.0,225435.0,179693.0,176369.0,230698.0,120198.0
2020-05-18,84063.0,1514937.0,233809.0,225886.0,180051.0,176551.0,231606.0,122492.0
2020-05-19,84063.0,1535981.0,236867.0,226699.0,180933.0,177778.0,232037.0,124603.0
2020-05-20,84063.0,1559486.0,239579.0,227364.0,181700.0,178473.0,232555.0,126949.0
2020-05-21,84063.0,1585151.0,242133.0,228006.0,181951.0,179021.0,233037.0,129341.0
2020-05-22,84081.0,1608589.0,244174.0,228658.0,182354.0,179710.0,234824.0,131652.0
2020-05-23,84084.0,1629786.0,245682.0,229327.0,182694.0,179986.0,235290.0,133521.0
2020-05-24,84095.0,1649900.0,247037.0,229858.0,182709.0,180328.0,235772.0,135701.0
2020-05-25,84102.0,1668217.0,248650.0,230158.0,183067.0,180600.0,235400.0,137724.0
2020-05-26,84103.0,1687741.0,250309.0,230555.0,182847.0,181200.0,236259.0,139511.0
2020-05-27,84106.0,1706331.0,252118.0,231139.0,183038.0,181524.0,236259.0,141591.0
2020-05-28,84106.0,1729279.0,253854.0,231732.0,186364.0,182196.0,237906.0,143849.0
2020-05-29,84123.0,1753630.0,255362.0,232248.0,186923.0,182922.0,238564.0,146668.0
2020-05-30,84128.0,1777473.0,256469.0,232664.0,188752.0,183189.0,239228.0,148950.0
2020-05-31,84146.0,1796645.0,257539.0,232997.0,189009.0,183410.0,239479.0,151466.0
2020-06-01,84154.0,1814009.0,258983.0,233197.0,189348.0,183594.0,239638.0,154445.0
2020-06-02,84161.0,1835382.0,260453.0,233515.0,188582.0,183879.0,239932.0,157562.0
2020-06-03,84160.0,1855359.0,261802.0,233836.0,188934.0,184121.0,240326.0,160696.0
2020-06-04,84171.0,1877078.0,263040.0,234013.0,189701.0,184472.0,240660.0,164270.0
2020-06-05,84177.0,1902245.0,264150.0,234531.0,190312.0,184924.0,240978.0,167156.0
2020-06-06,84186.0,1924081.0,264944.0,234801.0,190891.0,185450.0,241310.0,169425.0
2020-06-07,84191.0,1941868.0,265662.0,234998.0,191234.0,185750.0,241550.0,171789.0
2020-06-08,84195.0,1959396.0,266756.0,235278.0,191445.0,186109.0,241717.0,173832.0
2020-06-09,84198.0,1977765.0,267915.0,235561.0,191849.0,186506.0,241966.0,175927.0
2020-06-10,84209.0,1998589.0,269101.0,235763.0,192394.0,186522.0,242280.0,177938.0
2020-06-11,84216.0,2021786.0,270108.0,236142.0,192819.0,186691.0,242707.0,180156.0
2020-06-12,84228.0,2046651.0,271162.0,236305.0,193546.0,187226.0,243209.0,182525.0
2020-06-13,84286.0,2071911.0,272050.0,236651.0,194072.0,187267.0,243605.0,184955.0
2020-06-14,84335.0,2091283.0,272857.0,236989.0,194479.0,187518.0,243928.0,187427.0
2020-06-15,84378.0,2111207.0,273888.0,237290.0,194631.0,187682.0,244109.0,189876.0
2020-06-16,84422.0,2135002.0,274971.0,237500.0,194975.0,188252.0,244328.0,192439.0
2020-06-17,84458.0,2160906.0,275970.0,237828.0,195433.0,188604.0,244683.0,195051.0
2020-06-18,84494.0,2189091.0,276990.0,238159.0,195900.0,189817.0,245268.0,197647.0
2020-06-19,84494.0,2220401.0,277974.0,238011.0,196711.0,190299.0,245575.0,200262.0
2020-06-20,84553.0,2252655.0,278640.0,238275.0,197352.0,190670.0,245938.0,202584.0
2020-06-21,84572.0,2278761.0,279264.0,238499.0,197636.0,191272.0,246272.0,204952.0
2020-06-22,84624.0,2309243.0,280156.0,238720.0,198009.0,191768.0,246504.0,207525.0
2020-06-23,84653.0,2345008.0,281038.0,238833.0,198526.0,192480.0,246752.0,209970.0
2020-06-24,84673.0,2379473.0,281815.0,239410.0,198607.0,192871.0,247086.0,212501.0
2020-06-25,84701.0,2420009.0,282512.0,239706.0,198607.0,193371.0,247486.0,215096.0
2020-06-26,84725.0,2465323.0,283151.0,239961.0,200195.0,194036.0,247905.0,217724.0
2020-06-27,84743.0,2507672.0,283785.0,240136.0,200195.0,194458.0,248469.0,220180.0
2020-06-28,84757.0,2547023.0,284192.0,240310.0,199476.0,194693.0,248770.0,222669.0
2020-06-29,84780.0,2587708.0,284812.0,240436.0,201522.0,195042.0,248970.0,225205.0
2020-06-30,84785.0,2633871.0,285216.0,240578.0,202063.0,195418.0,249271.0,227662.0
2020-07-01,84816.0,2685191.0,285279.0,240760.0,202981.0,195893.0,249659.0,230211.0
2020-07-02,84830.0,2740301.0,285285.0,240961.0,203640.0,196370.0,250103.0,232863.0
2020-07-03,84838.0,2792849.0,285787.0,241184.0,204222.0,196780.0,250545.0,235429.0
2020-07-04,84857.0,2838589.0,286412.0,241419.0,204222.0,197198.0,250545.0,237878.0
2020-07-05,84871.0,2888566.0,286931.0,241611.0,204222.0,197523.0,250545.0,240438.0
2020-07-06,84889.0,2933216.0,287290.0,241819.0,205597.0,198064.0,251789.0,243051.0
2020-07-07,84917.0,2993372.0,287874.0,241956.0,206072.0,198343.0,252130.0,245688.0
2020-07-08,84950.0,3052545.0,288511.0,242149.0,206072.0,198699.0,252513.0,248379.0
2020-07-09,84992.0,3115816.0,289154.0,242363.0,207356.0,199001.0,253056.0,250458.0
2020-07-10,84992.0,3183535.0,289678.0,242639.0,208015.0,199332.0,253908.0,252720.0
2020-07-11,85071.0,3243686.0,290504.0,242827.0,208015.0,199709.0,253908.0,255117.0
2020-07-12,85117.0,3302565.0,291154.0,243061.0,208015.0,199919.0,253908.0,257303.0
2020-07-13,85117.0,3362035.0,291691.0,243230.0,209640.0,200180.0,255953.0,259652.0
2020-07-14,85226.0,3428992.0,292931.0,243344.0,209640.0,200456.0,256619.0,262173.0
2020-07-15,85246.0,3496615.0,293469.0,243506.0,210568.0,200890.0,257494.0,264561.0
2020-07-16,85327.0,3573977.0,294116.0,243736.0,211102.0,201450.0,258855.0,267061.0
2020-07-17,85402.0,3645987.0,294803.0,243967.0,211943.0,202045.0,260255.0,269440.0
2020-07-18,85418.0,3708735.0,295632.0,244216.0,211943.0,202426.0,260255.0,271606.0
2020-07-19,85503.0,3769990.0,296358.0,244434.0,211943.0,202735.0,260255.0,273788.0
2020-07-20,85622.0,3831932.0,296944.0,244624.0,214023.0,203325.0,264836.0,276202.0
2020-07-21,85708.0,3896363.0,297389.0,244752.0,214607.0,203717.0,266194.0,278827.0
2020-07-22,85906.0,3967668.0,297952.0,245032.0,215605.0,204276.0,267551.0,281413.0
2020-07-23,86045.0,4036741.0,298731.0,245338.0,216667.0,204881.0,270166.0,284034.0
2020-07-24,86202.0,4109848.0,299500.0,245590.0,217797.0,205623.0,272421.0,286523.0
2020-07-25,86381.0,4176302.0,300270.0,245864.0,217801.0,206278.0,272421.0,288839.0
2020-07-26,86570.0,4231104.0,301020.0,246118.0,217801.0,206667.0,272421.0,291172.0
2020-07-27,86783.0,4287684.0,301708.0,246286.0,220352.0,207112.0,278782.0,293606.0
2020-07-28,86990.0,4353477.0,302261.0,246488.0,221077.0,207707.0,280610.0,296273.0
2020-07-29,87213.0,4424779.0,303063.0,246776.0,221077.0,208546.0,282641.0,298909.0
2020-07-30,87489.0,4492558.0,303910.0,247158.0,222469.0,209535.0,285430.0,301530.0
2020-07-31,87655.0,4559711.0,304793.0,247537.0,225197.0,210399.0,288522.0,304204.0
2020-08-01,87827.0,4617614.0,305562.0,247832.0,225198.0,211005.0,288522.0,306752.0
2020-08-02,87985.0,4664943.0,306309.0,248070.0,225198.0,211220.0,288522.0,309437.0
2020-08-03,88099.0,4709773.0,307251.0,248229.0,225198.0,212111.0,297054.0,312035.0
2020-08-04,88206.0,4767233.0,307926.0,248419.0,228576.0,212828.0,302814.0,314786.0
2020-08-05,88328.0,4820885.0,308832.0,248803.0,228576.0,214113.0,305767.0,317483.0
2020-08-06,88460.0,4880525.0,309796.0,249204.0,231310.0,215039.0,309855.0,320117.0
2020-08-07,88580.0,4938857.0,310696.0,249756.0,235207.0,216196.0,314362.0,322567.0
2020-08-08,88672.0,4994547.0,311461.0,250103.0,235208.0,216903.0,314362.0,324692.0
2020-08-09,88793.0,5040670.0,312574.0,250566.0,235237.0,217288.0,314362.0,326712.0
2020-08-10,88906.0,5090430.0,313392.0,250825.0,239349.0,218508.0,322980.0,328844.0
2020-08-11,88958.0,5137333.0,314542.0,251237.0,239355.0,219540.0,326612.0,331189.0
2020-08-12,89045.0,5194337.0,315581.0,251713.0,244088.0,220859.0,329784.0,333699.0
2020-08-13,89144.0,5246314.0,316729.0,252235.0,244096.0,222281.0,337334.0,336324.0
2020-08-14,89214.0,5310915.0,318190.0,252809.0,249655.0,223791.0,342813.0,338825.0
2020-08-15,89279.0,5358340.0,319232.0,253438.0,252965.0,224488.0,342813.0,341070.0
2020-08-16,89375.0,5399753.0,320343.0,253915.0,252965.0,225007.0,342813.0,343203.0
2020-08-17,89441.0,5435692.0,321064.0,254235.0,256533.0,226700.0,359082.0,345450.0
2020-08-18,89494.0,5481046.0,322177.0,254636.0,256534.0,228120.0,364196.0,347835.0
2020-08-19,89527.0,5528376.0,323008.0,255278.0,256534.0,229706.0,370867.0,350279.0
2020-08-20,89567.0,5572457.0,324203.0,256118.0,256534.0,231292.0,377906.0,352558.0
2020-08-21,89616.0,5620676.0,325263.0,257065.0,271960.0,233029.0,386054.0,354764.0
2020-08-22,89654.0,5665086.0,326595.0,258136.0,275562.0,233861.0,386054.0,356792.0
2020-08-23,89695.0,5699515.0,327643.0,259345.0,280459.0,234494.0,386054.0,358905.0
2020-08-24,89718.0,5737369.0,328620.0,260298.0,282414.0,236122.0,405436.0,361150.0
2020-08-25,89752.0,5775598.0,329821.0,261174.0,285902.0,237583.0,412553.0,363363.0
2020-08-26,89784.0,5820689.0,330967.0,262540.0,291374.0,239010.0,419849.0,365606.0
2020-08-27,89814.0,5866560.0,332509.0,263949.0,297485.0,240571.0,429507.0,367796.0
2020-08-28,89836.0,5912756.0,333806.0,265409.0,304947.0,242126.0,439286.0,369911.0
2020-08-29,89863.0,5958776.0,334916.0,266853.0,304947.0,242835.0,439286.0,371816.0
2020-08-30,89895.0,5994130.0,336668.0,268218.0,315813.0,243305.0,439286.0,373570.0
2020-08-31,89914.0,6028642.0,338083.0,269214.0,318986.0,244802.0,462858.0,375212.0
2020-09-01,89933.0,6071171.0,339415.0,270189.0,323968.0,246015.0,470973.0,376894.0
2020-09-02,89953.0,6111774.0,340929.0,271515.0,331060.0,247411.0,479554.0,378752.0
2020-09-03,89986.0,6155692.0,342708.0,272912.0,338220.0,248840.0,488513.0,380746.0
2020-09-04,90008.0,6205799.0,344686.0,274644.0,347267.0,250283.0,498989.0,382772.0
2020-09-05,90025.0,6249850.0,346513.0,276338.0,347267.0,251058.0,498989.0,384666.0
2020-09-06,90058.0,6280981.0,349500.0,277634.0,347268.0,251728.0,498989.0,386658.0
2020-09-07,90078.0,6305037.0,352451.0,278784.0,367174.0,253626.0,525549.0,388810.0
2020-09-08,90087.0,6331773.0,354932.0,280153.0,373718.0,254957.0,534513.0,391112.0
2020-09-09,90100.0,6365325.0,357613.0,281583.0,383292.0,256433.0,543379.0,393425.0
2020-09-10,90127.0,6401685.0,360544.0,283180.0,392243.0,258149.0,554143.0,395488.0
2020-09-11,90145.0,6449207.0,364088.0,284796.0,401890.0,259735.0,566326.0,397801.0
2020-09-12,90168.0,6490330.0,367592.0,286297.0,402811.0,260817.0,566326.0,399940.0
2020-09-13,90197.0,6524954.0,370930.0,287753.0,402893.0,261737.0,566326.0,402029.0
2020-09-14,90219.0,6558900.0,373555.0,288761.0,425870.0,263222.0,593730.0,404648.0
2020-09-15,90235.0,6598091.0,376670.0,289990.0,433905.0,265014.0,603167.0,407353.0
2020-09-16,90253.0,6636642.0,380677.0,291442.0,443869.0,266869.0,614360.0,410334.0
2020-09-17,90294.0,6681372.0,384087.0,293025.0,454266.0,269048.0,625651.0,413149.0
2020-09-18,90311.0,6730088.0,388416.0,294932.0,467421.0,271247.0,640040.0,416198.0
2020-09-19,90334.0,6774138.0,392845.0,296569.0,467614.0,272932.0,640040.0,419043.0
2020-09-20,90369.0,6810352.0,396744.0,298156.0,467614.0,273965.0,640040.0,422140.0
2020-09-21,90381.0,6862816.0,401122.0,299506.0,496851.0,275560.0,671468.0,425481.0
2020-09-22,90399.0,6901781.0,406058.0,300897.0,507150.0,277412.0,682267.0,429193.0
2020-09-23,90409.0,6940214.0,412245.0,302537.0,508456.0,279025.0,693556.0,432798.0
2020-09-24,90424.0,6984346.0,418889.0,304323.0,536289.0,281346.0,704209.0,436319.0
2020-09-25,90441.0,7034931.0,425767.0,306235.0,552421.0,283712.0,716481.0,439882.0
2020-09-26,90456.0,7079803.0,431817.0,308104.0,552454.0,285026.0,716481.0,443086.0
2020-09-27,90483.0,7116225.0,437517.0,309870.0,552473.0,286339.0,716481.0,446448.0
2020-09-28,90505.0,7149537.0,441573.0,311364.0,577980.0,288631.0,748266.0,449960.0
2020-09-29,90528.0,7191637.0,448729.0,313011.0,590021.0,290471.0,748266.0,453637.0
2020-09-30,90545.0,7233042.0,455846.0,314861.0,604031.0,292913.0,769188.0,457219.0
2020-10-01,90567.0,7277791.0,462775.0,317409.0,616986.0,295539.0,778607.0,461044.0
2020-10-02,90584.0,7332297.0,469769.0,319908.0,629431.0,298374.0,789932.0,464596.0
2020-10-03,90604.0,7382341.0,482654.0,322751.0,629509.0,300027.0,789932.0,468119.0
2020-10-04,90629.0,7417845.0,505619.0,325329.0,629509.0,301573.0,789932.0,471772.0
2020-10-05,90652.0,7457402.0,518222.0,327586.0,664289.0,304673.0,813412.0,475674.0
